DN;PN 2,5;PN 6;PN 10;PN16;PN 25;PN 40;PN 63;PN 100;PN 160;PN 250;PN 320;PN400
10;28;28;35;35;35;35;45;45;45;;58;65
15;30;30;38;38;38;38;45;45;45;60;60;68
20;32;32;40;40;40;40;48;48;58;65;78;90
25;35;35;40;40;40;40;58;58;64;80;88;110
32;35;35;42;42;42;42;60;60;75;85;100;120
40;38;38;45;45;45;45;62;62;82;95;120;135
50;38;38;45;45;48;48;62;68;86;102;130;150
65;38;38;45;45;52;52;68;76;100;120;145;175
80;42;42;50;50;58;58;72;78;115;140;175;200
100;45;45;52;52;65;65;78;90;128;160;195;225
125;48;48;55;55;68;68;88;105;140;190;235;280
150;48;48;55;55;75;75;95;115;155;215;300;
200;55;55;62;62;80;88;110;130;175;;;
250;60;60;67;70;88;105;125;157;;;;
300;62;62;67;78;92;115;140;170;;;;
350;62;62;67;82;100;125;150;189;;;;
400;65;65;72;82;110;135;160;;;;;
450;65;65;72;83;110;140;;;;;;
500;68;68;75;84;125;150;;;;;;
600;70;70;82;88;125;;;;;;;
700;76;76;85;104;129;;;;;;;
800;76;76;96;108;138;;;;;;;
900;74;78;99;118;148;;;;;;;
1000;74;82;105;138;160;;;;;;;
1200;94;104;132;160;;;;;;;;
1400;96;114;143;177;;;;;;;;
1600;102;119;159;204;;;;;;;;
1800;110;133;175;218;;;;;;;;
2000;122;146;186;238;;;;;;;;
2200;129;154;202;;;;;;;;;
2400;143;168;218;;;;;;;;;
2600;148;175;224;;;;;;;;;
2800;461;188;244;;;;;;;;;
3000;170;192;257;;;;;;;;;
3200;180;202;;;;;;;;;;
3400;194;214;;;;;;;;;;
3600;201;229;;;;;;;;;;
3800;212;;;;;;;;;;;
4000;226;;;;;;;;;;;
